logit,lb_crown,ub_crown,width_crown,nominal,sample_min,sample_max,sample_within_crown?
0,-11.37067,8.147857,19.518528,-1.1940974,-1.5272701,-0.88863915,True
1,0.008562803,20.067612,20.05905,14.856438,14.50437,15.140878,True
2,-11.087506,12.673431,23.760937,0.50115365,-0.020034716,0.97417563,True
3,-12.14571,9.481797,21.627506,-3.407186,-3.7003267,-3.0656917,True
4,-12.132625,9.63723,21.769855,-0.7736576,-1.1188251,-0.37737185,True
5,-15.971205,6.332807,22.304012,-7.504366,-7.8419075,-7.1037083,True
6,-12.338566,12.657116,24.995682,0.76741755,0.28258714,1.2257608,True
7,-12.371072,12.232216,24.603287,-0.07880139,-0.48135754,0.33712828,True
8,-6.982953,13.141802,20.124756,2.5917764,2.2922645,2.9055276,True
9,-12.663966,8.482273,21.14624,-2.20043,-2.5462115,-1.8753399,True
